batch_id,Class,Left,Right,x,y,logL/R
0,5,4129.553,4894.6353,102,126,-0.16997053
0,0,4520.749,5673.843,51,63,-0.22718896
0,4,2526.608,3847.3218,51,126,-0.42049965
0,1,2575.5332,3042.1177,102,63,-0.16649732
0,9,2740.6785,4869.463,102,189,-0.57477814
0,2,4184.145,5521.2354,153,63,-0.27729923
0,1,1275.9568,4510.0664,102,63,-1.2626156
0,3,4405.3374,7353.836,204,63,-0.5124053
0,1,612.61566,2952.6394,102,63,-1.5727171
0,4,3331.765,3849.5493,51,126,-0.14445393
0,3,3320.9531,6038.102,204,63,-0.5978379
0,5,2259.902,2412.247,102,126,-0.06523724
0,3,4668.827,7055.8237,204,63,-0.41294542
0,6,4420.3804,4904.345,153,126,-0.10389587
0,1,1364.0667,2447.4,102,63,-0.5845558
0,7,3776.7607,4515.3843,204,126,-0.17862362
0,2,3229.141,4847.0474,153,63,-0.40615356
0,8,4494.8784,4391.7417,51,189,0.023212718
0,6,1904.5098,2549.8787,153,126,-0.29182115
0,9,2477.643,3337.765,102,189,-0.29799366
0,4,4768.7646,6430.514,51,126,-0.29896724
0,0,5026.165,6590.3843,51,63,-0.2709544
0,9,2251.1846,2879.855,102,189,-0.24628338
0,1,2309.592,3124.6,102,63,-0.3022354
0,1,2576.3293,4625.0,102,63,-0.58511066
0,2,5441.706,7928.6235,153,63,-0.3763868
0,4,1334.106,3118.306,51,126,-0.84902847
0,3,5614.6357,9502.784,204,63,-0.52620816
0,2,5133.318,8527.103,153,63,-0.50749743
0,7,2294.855,2865.898,204,126,-0.22221205
0,3,2834.4001,5526.3726,204,63,-0.66770136
0,8,4811.6196,5864.886,51,189,-0.1979493
1,6,2471.1174,3292.6628,153,126,-0.28702617
1,9,2535.702,4405.208,102,189,-0.55231696
1,0,4900.3174,7067.4233,51,63,-0.366196
1,5,2196.5176,3156.4202,102,126,-0.36256537
1,6,3853.6667,6593.6426,153,126,-0.5370809
1,0,5253.3486,6962.706,51,63,-0.2817025
1,7,2708.541,4483.3135,204,126,-0.5039523
1,6,3711.5178,5100.984,153,126,-0.31799257
1,1,971.8862,3519.0942,102,63,-1.2867202
1,8,3938.012,5341.0625,51,189,-0.30474856
1,7,1212.8667,2929.0315,204,126,-0.8816851
1,9,2261.5923,3641.2195,102,189,-0.47624955
1,3,2039.604,3597.1807,204,63,-0.5673948
1,9,3472.247,4447.0156,102,189,-0.24743131
1,8,3386.7883,4212.608,51,189,-0.2181998
1,5,3413.898,3951.4158,102,126,-0.14621918
1,9,2387.3137,3247.0317,102,189,-0.3075725
1,3,4059.4038,6747.608,204,63,-0.50815195
1,3,2350.1177,3796.043,204,63,-0.4794938
1,0,6765.7847,8164.996,51,63,-0.18797798
1,7,3267.408,5892.9336,204,126,-0.58975697
1,4,2353.8943,3155.4236,51,126,-0.29305166
1,9,3059.635,4674.6587,102,189,-0.42386055
1,8,4487.58,6123.2197,51,189,-0.31077445
1,0,6622.342,7111.5957,51,63,-0.07127759
1,9,2826.6196,3750.2551,102,189,-0.28274235
1,4,4034.6394,7095.961,51,126,-0.5646088
1,1,2416.9883,3102.6274,102,63,-0.24972704
1,4,4440.502,5216.8315,51,126,-0.16112281
1,4,3198.8394,2746.5493,51,126,0.1524427
1,6,4297.9688,5638.643,153,126,-0.27150095
1,0,7119.3887,8040.8047,51,63,-0.12170728
2,4,3963.6433,4648.2,51,126,-0.15931647
2,5,2814.3845,2624.9802,102,126,0.06967019
2,6,3802.463,5047.612,153,126,-0.28326625
2,1,2085.067,2903.0117,102,63,-0.33094782
2,0,3628.0864,4472.6353,51,63,-0.20927243
2,0,5929.3486,7926.9917,51,63,-0.2903593
2,1,2894.8826,4347.9453,102,63,-0.40675882
2,7,3028.5452,3661.2507,204,126,-0.18972248
2,1,1121.8589,2404.765,102,63,-0.7624651
2,6,3416.812,5143.2314,153,126,-0.40897366
2,3,3544.4902,5027.325,204,63,-0.34949374
2,0,4364.9375,6793.1997,51,63,-0.44231817
2,2,3900.7842,4716.106,153,63,-0.18980585
2,1,2479.3372,3081.1646,102,63,-0.21731639
2,1,2004.1923,4463.764,102,63,-0.8007513
2,7,3588.0627,4059.118,204,126,-0.123353235
2,9,3714.0747,4867.5215,102,189,-0.27045527
2,0,5450.134,6663.612,51,63,-0.20102146
2,2,5708.1606,7465.145,153,63,-0.268348
2,6,3447.2903,5343.6665,153,126,-0.43832353
2,7,1846.9137,4252.216,204,126,-0.83392423
2,8,3463.5571,5077.444,51,189,-0.38251182
2,3,2841.1252,4316.7217,204,63,-0.41829604
2,9,4259.208,4893.3335,102,189,-0.13879055
2,0,5405.781,5700.4043,51,63,-0.053068213
2,4,4259.612,3994.1963,51,126,0.0643356
2,6,4624.533,5136.1294,153,126,-0.10492433
2,7,3770.918,4730.655,204,126,-0.22674514
2,4,1907.1687,3132.71,51,126,-0.4962786
2,6,4001.6118,5612.686,153,126,-0.33833212
2,8,4282.9336,4657.329,51,189,-0.08380397
2,0,5927.357,6438.9297,51,63,-0.08278391
3,7,1911.3137,4039.4,204,126,-0.7483053
3,8,4342.4077,5255.302,51,189,-0.19080846
3,3,2571.4116,4480.7217,204,63,-0.55532914
3,1,1333.7413,2876.8,102,63,-0.7686905
3,5,2464.1882,3449.608,102,126,-0.33639812
3,7,2893.8706,4792.1177,204,126,-0.50437754
3,1,1208.6157,2505.4746,102,63,-0.72900254
3,7,2633.3018,3660.2666,204,126,-0.32929748
3,1,1364.3215,2447.6865,102,63,-0.58448607
3,1,2705.5176,3621.4277,102,63,-0.29157513
3,6,4091.1804,4655.9375,153,126,-0.12930974
3,3,3563.6943,6684.914,204,63,-0.6290556
3,0,4499.8,4975.7964,51,63,-0.10055255
3,2,3551.706,3368.1414,153,63,0.053067043
3,9,3103.671,5032.8315,102,189,-0.48339716
3,3,6797.812,8231.443,204,63,-0.19136058
3,1,490.02744,3339.2468,102,63,-1.9190392
3,1,2888.6746,3867.898,102,63,-0.2919134
3,0,6461.3887,6818.7256,51,63,-0.053828336
3,4,3168.1924,3759.961,51,126,-0.17124738
3,9,2928.706,5459.847,102,189,-0.6228601
3,2,6214.9805,6927.3887,153,63,-0.10852034
3,0,3650.8945,4569.0747,51,63,-0.2243385
3,0,6101.299,8010.0117,51,63,-0.27219057
3,2,5270.0474,7778.3066,153,63,-0.38929936
3,0,7346.1807,7735.2,51,63,-0.05160085
3,2,2855.6196,5052.769,153,63,-0.5706476
3,7,3801.2864,4196.8237,204,126,-0.09898849
